id,YCoordinate,XCoordinate
id_5252955,-17.68889893799758,26.61714112824072
id_5236839,-17.22518477552692,25.88449784391778
id_5213952,-16.57674596060881,26.46943313661572
id_5189674,-15.705791000474692,28.282250795191327
id_5188140,-15.602929670404489,28.775858477357257
id_5186178,-15.518296633440984,27.78695715286062
id_5186116,-15.517545183195022,26.02468860382832
id_5183533,-15.419975849172928,27.34855971396889
id_5180501,-15.338326579495574,27.49748424448987
id_5176771,-15.233758409495271,28.595864989725435
id_5174818,-15.193910545805592,27.376115726388647
id_5166040,-14.943277616509658,22.571827269267697
id_5157787,-14.766840757060304,28.0629048093993
id_3587739,-14.223818774791328,31.80841855210984
id_5136351,-13.9796372052403,29.41971342743277
id_3566932,-13.855339623107398,32.4025295682982
id_5107092,-13.008975334391796,22.847890313408303
id_5100388,-12.824183026220645,27.7408669435007
id_5084036,-12.226192659043882,29.485311796159184
id_5081992,-12.1260573251937,29.56702071611068
id_5065766,-11.31569378565097,29.220758998960257
id_3478587,-10.99845060223154,33.031466179945376
id_3449974,-10.348880698415956,30.81224751556092
id_3446994,-10.274161237552317,32.30083076680508
id_1031597,-8.863859552674342,31.02153277264314
