site_id,internal_id,plot_file,operator,operator_initials,x,y,water_source,image_number,year,month,day,irrigation,percent_coverage,percent_coverage_hc,poly_avg_size,poly_avg_size_hc,poly_min_size,poly_min_size_hc,percent_coverage_hc_plantation,percent_coverage_hc_industrial,percent_coverage_hc_lawn,percent_coverage_hc_covered,source_file
id_5172961,9,Zambia_0.05_n_550-574.csv,,DSB,28.092695607716585,-15.14637452678233,True,1,2018,10,14,4,0.03404277616795983,0.03404277616795983,340.27485334855186,340.27485334855186,340.27485334855186,340.27485334855186,0.0,0.0,0.0,0.0,DSB_550-574
id_5172961,9,Zambia_0.05_n_550-574.csv,,DSB,28.092695607716585,-15.14637452678233,True,2,2017,8,28,5,0.12411477936223286,0.12411477936223286,413.530334072489,413.530334072489,137.20520002739636,137.20520002739636,0.0,0.0,0.0,0.0,DSB_550-574
id_5172961,9,Zambia_0.05_n_550-574.csv,,DSB,28.092695607716585,-15.14637452678233,True,3,2016,8,12,5,0.1526028497518743,0.1526028497518743,508.4480055927825,508.4480055927825,158.9768002208322,158.9768002208322,0.0,0.0,0.0,0.0,DSB_550-574
id_3536876,14,Zambia_0.05_n_550-574.csv,,DSB,30.144235320748912,-13.18909337679958,True,1,2020,7,7,4,0.14426427439162137,0.14426427439162137,240.94059393634882,240.94059393634882,163.5314896544853,163.5314896544853,0.0,0.0,0.0,0.0,DSB_550-574
id_3536876,14,Zambia_0.05_n_550-574.csv,,DSB,30.144235320748912,-13.18909337679958,True,2,2019,8,18,5,0.19334774902702934,0.19334774902702934,387.4986064725131,387.4986064725131,87.34095393440293,87.34095393440293,0.0,0.0,0.0,0.0,DSB_550-574
id_3536876,14,Zambia_0.05_n_550-574.csv,,DSB,30.144235320748912,-13.18909337679958,True,3,2018,7,28,5,0.06181812728239034,0.06181812728239034,309.7318514124457,309.7318514124457,123.26977469210564,123.26977469210564,0.0,0.0,0.0,0.0,DSB_550-574
id_5110647,15,Zambia_0.05_n_550-574.csv,,DSB,27.474260296674167,-13.150326850432789,True,1,2018,9,3,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_550-574
id_5105407,17,Zambia_0.05_n_550-574.csv,,DSB,27.89808849369721,-12.986445180008356,False,1,2022,7,25,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_550-574
id_5105407,17,Zambia_0.05_n_550-574.csv,,DSB,27.89808849369721,-12.986445180008356,False,2,2021,9,12,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_550-574
id_5105407,17,Zambia_0.05_n_550-574.csv,,DSB,27.89808849369721,-12.986445180008356,False,3,2018,8,23,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_550-574
id_5105407,17,Zambia_0.05_n_550-574.csv,,DSB,27.89808849369721,-12.986445180008356,False,4,2017,7,17,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_550-574
id_5105407,17,Zambia_0.05_n_550-574.csv,,DSB,27.89808849369721,-12.986445180008356,False,5,2016,7,14,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_550-574
id_5121688,12,Zambia_0.05_n_550-574.csv,,DSB,28.67609830830805,-13.515897754376889,True,1,2023,8,8,5,1.5360822434054628,1.5360822434054628,568.9321663644507,568.9321663644507,47.936566650335806,47.936566650335806,0.0,0.0,0.0,0.0,DSB_550-574
id_5121688,12,Zambia_0.05_n_550-574.csv,,DSB,28.67609830830805,-13.515897754376889,True,2,2016,9,1,5,0.5295566361382583,0.5295566361382583,973.490268462527,973.490268462527,121.17413412657206,121.17413412657206,0.0,0.0,0.0,0.0,DSB_550-574
id_5114640,13,Zambia_0.05_n_550-574.csv,,DSB,28.157633083076487,-13.283770580409849,True,1,2023,8,3,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_550-574
id_5114640,13,Zambia_0.05_n_550-574.csv,,DSB,28.157633083076487,-13.283770580409849,True,2,2021,9,16,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_550-574
id_5114640,13,Zambia_0.05_n_550-574.csv,,DSB,28.157633083076487,-13.283770580409849,True,3,2017,7,31,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,DSB_550-574
