site_id,internal_id,plot_file,operator,operator_initials,x,y,water_source,image_number,year,month,day,irrigation,percent_coverage,percent_coverage_hc,poly_avg_size,poly_avg_size_hc,poly_min_size,poly_min_size_hc,percent_coverage_hc_tree_crop,percent_coverage_hc_industrial,percent_coverage_hc_lawn,percent_coverage_hc_covered,percent_coverage_hc_small-scale,source_file
id_5252955,1,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,26.61714112824072,-17.68889893799758,False,1,2019,10,6,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_1025-1049
id_5252955,1,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,26.61714112824072,-17.68889893799758,False,2,2018,7,1,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_1025-1049
id_5252955,1,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,26.61714112824072,-17.68889893799758,False,3,2016,8,16,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_1025-1049
id_5236839,2,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,25.88449784391778,-17.22518477552692,False,1,2023,7,9,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_1025-1049
id_5236839,2,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,25.88449784391778,-17.22518477552692,False,2,2019,8,10,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_1025-1049
id_5236839,2,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,25.88449784391778,-17.22518477552692,False,3,2018,6,18,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_1025-1049
id_5236839,2,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,25.88449784391778,-17.22518477552692,False,4,2017,9,1,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_1025-1049
id_5236839,2,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,25.88449784391778,-17.22518477552692,False,5,2016,8,3,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_1025-1049
id_5213952,3,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,26.46943313661572,-16.57674596060881,False,1,2023,9,20,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_1025-1049
id_5189674,4,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,28.282250795191327,-15.705791000474692,False,1,2021,10,13,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_1025-1049
id_5189674,4,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,28.282250795191327,-15.705791000474692,False,2,2017,9,19,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_1025-1049
id_5188140,5,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,28.775858477357257,-15.602929670404489,False,1,2021,7,14,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_1025-1049
id_5186178,6,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,27.78695715286062,-15.518296633440984,True,1,2023,7,27,5,0.6030388728017317,0.6030388728017317,2035.4129882844463,2035.4129882844463,385.2059532262301,385.2059532262301,0.0,0.0,0.0,0.0,0.6030388728017317,PS_1025-1049
id_5186178,6,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,27.78695715286062,-15.518296633440984,True,2,2019,7,2,5,0.6585668338295907,0.6585668338295907,2405.1304284469843,2405.1304284469843,322.5852232116403,322.5852232116403,0.0,0.0,0.0,0.0,0.6585668338295907,PS_1025-1049
id_5186178,6,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,27.78695715286062,-15.518296633440984,True,3,2018,8,27,5,0.2347390081001479,0.2347390081001479,3255.472679402108,3255.472679402108,3255.472679402108,3255.472679402108,0.0,0.0,0.0,0.0,0.2347390081001479,PS_1025-1049
id_5186178,6,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,27.78695715286062,-15.518296633440984,True,4,2018,7,4,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_1025-1049
id_5186116,7,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,26.02468860382832,-15.517545183195022,False,1,2017,9,2,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_1025-1049
id_5183533,8,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,27.34855971396889,-15.419975849172928,False,1,2020,9,23,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_1025-1049
id_5180501,9,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,27.49748424448987,-15.338326579495574,False,1,2020,10,26,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_1025-1049
id_5180501,9,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,27.49748424448987,-15.338326579495574,False,2,2018,8,30,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_1025-1049
id_5180501,9,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,27.49748424448987,-15.338326579495574,False,3,2017,9,9,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_1025-1049
id_5176771,10,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,28.595864989725435,-15.233758409495271,False,1,2023,8,1,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_1025-1049
id_5176771,10,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,28.595864989725435,-15.233758409495271,False,2,2018,8,23,4,0.010341146672913385,0.010341146672913385,103.40414733988747,103.40414733988747,103.40414733988747,103.40414733988747,0.0,0.0,0.0,0.0,0.010341146672913385,PS_1025-1049
id_5176771,10,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,28.595864989725435,-15.233758409495271,False,3,2017,10,14,5,0.11940388817884846,0.11940388817884846,596.9639886265702,596.9639886265702,93.99134532238155,93.99134532238155,0.0,0.0,0.0,0.0,0.11940388817884846,PS_1025-1049
id_5176771,10,Zambia_0.05_n_1025-1049.csv,PeterSiame,raw,28.595864989725435,-15.233758409495271,False,4,2016,8,5,4,0.217878722688508,0.217878722688508,3259.9626128971067,3259.9626128971067,3259.9626128971067,3259.9626128971067,0.0,0.0,0.0,0.0,0.217878722688508,PS_1025-1049
