site_id,internal_id,plot_file,operator,operator_initials,x,y,water_source,image_number,year,month,day,irrigation,percent_coverage,percent_coverage_hc,poly_avg_size,poly_avg_size_hc,poly_min_size,poly_min_size_hc,percent_coverage_hc_tree_crop,percent_coverage_hc_industrial,percent_coverage_hc_lawn,percent_coverage_hc_covered,percent_coverage_hc_small-scale,source_file
id_5243460,1,Zambia_0.05_n_775-799.csv,PeterSiame,raw,26.636541564755007,-17.41776869451837,False,1,2019,7,27,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_775-799
id_5243460,1,Zambia_0.05_n_775-799.csv,PeterSiame,raw,26.636541564755007,-17.41776869451837,False,2,2016,8,16,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_775-799
id_5240921,2,Zambia_0.05_n_775-799.csv,PeterSiame,raw,27.33317561964964,-17.345508951469828,False,1,2023,6,15,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_775-799
id_5240921,2,Zambia_0.05_n_775-799.csv,PeterSiame,raw,27.33317561964964,-17.345508951469828,False,2,2018,8,19,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_775-799
id_5240921,2,Zambia_0.05_n_775-799.csv,PeterSiame,raw,27.33317561964964,-17.345508951469828,False,3,2018,8,11,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_775-799
id_5240921,2,Zambia_0.05_n_775-799.csv,PeterSiame,raw,27.33317561964964,-17.345508951469828,False,4,2016,6,2,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_775-799
id_5219812,3,Zambia_0.05_n_775-799.csv,PeterSiame,raw,25.230879096950748,-16.732559387577158,False,1,2019,7,25,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_775-799
id_5205507,4,Zambia_0.05_n_775-799.csv,PeterSiame,raw,26.36714669234306,-16.323352456216668,False,1,2023,6,21,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_775-799
id_5162183,5,Zambia_0.05_n_775-799.csv,PeterSiame,raw,27.03159828536337,-14.886821895795425,False,1,2019,7,28,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_775-799
id_5161599,6,Zambia_0.05_n_775-799.csv,PeterSiame,raw,28.58381694770717,-14.863278286633443,True,1,2023,9,17,4,0.026812049778662913,0.026812049778662913,268.09452907312027,268.09452907312027,268.09452907312027,268.09452907312027,0.0,0.0,0.0,0.0,0.026812049778662913,PS_775-799
id_5161599,6,Zambia_0.05_n_775-799.csv,PeterSiame,raw,28.58381694770717,-14.863278286633443,True,2,2020,6,20,4,0.06681669674065732,0.06681669674065732,668.1026755401942,668.1026755401942,668.1026755401942,668.1026755401942,0.0,0.0,0.0,0.0,0.06681669674065732,PS_775-799
id_5161599,6,Zambia_0.05_n_775-799.csv,PeterSiame,raw,28.58381694770717,-14.863278286633443,True,3,2019,8,8,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_775-799
id_5161599,6,Zambia_0.05_n_775-799.csv,PeterSiame,raw,28.58381694770717,-14.863278286633443,True,4,2018,8,11,4,0.08926629596563997,0.08926629596563997,892.5768112192663,892.5768112192663,892.5768112192663,892.5768112192663,0.0,0.0,0.0,0.0,0.08926629596563997,PS_775-799
id_5161599,6,Zambia_0.05_n_775-799.csv,PeterSiame,raw,28.58381694770717,-14.863278286633443,True,5,2017,9,5,5,0.009112620548560255,0.009112620548560255,91.11782669060398,91.11782669060398,91.11782669060398,91.11782669060398,0.0,0.0,0.0,0.0,0.009112620548560255,PS_775-799
id_5161599,6,Zambia_0.05_n_775-799.csv,PeterSiame,raw,28.58381694770717,-14.863278286633443,True,6,2016,9,12,5,0.01020375785601896,0.01020375785601896,102.02819289275446,102.02819289275446,102.02819289275446,102.02819289275446,0.0,0.0,0.0,0.0,0.01020375785601896,PS_775-799
id_5161599,6,Zambia_0.05_n_775-799.csv,PeterSiame,raw,28.58381694770717,-14.863278286633443,True,7,2016,6,9,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_775-799
id_5143409,8,Zambia_0.05_n_775-799.csv,PeterSiame,raw,28.069888352982748,-14.287677369678208,True,1,2019,8,11,4,0.008776167645812023,0.008776167645812023,87.71939740433855,87.71939740433855,87.71939740433855,87.71939740433855,0.0,0.0,0.0,0.0,0.008776167645812023,PS_775-799
id_5138038,9,Zambia_0.05_n_775-799.csv,PeterSiame,raw,26.383111350303967,-14.06324737859912,True,1,2024,7,10,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_775-799
id_3568266,10,Zambia_0.05_n_775-799.csv,PeterSiame,raw,32.41171503371649,-13.882486872136544,True,1,2019,6,29,5,0.18919604223182407,0.18919604223182407,953.2524252234549,953.2524252234549,256.5774343699723,256.5774343699723,0.0,0.0,0.0,0.0,0.18919604223182407,PS_775-799
id_5127197,11,Zambia_0.05_n_775-799.csv,PeterSiame,raw,27.55853268157676,-13.68363764319601,False,1,2024,7,28,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_775-799
id_5127197,11,Zambia_0.05_n_775-799.csv,PeterSiame,raw,27.55853268157676,-13.68363764319601,False,2,2017,7,25,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_775-799
id_5124615,12,Zambia_0.05_n_775-799.csv,PeterSiame,raw,28.436408726992703,-13.598745043687028,False,1,2024,8,2,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_775-799
id_5124615,12,Zambia_0.05_n_775-799.csv,PeterSiame,raw,28.436408726992703,-13.598745043687028,False,2,2018,9,17,1,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,PS_775-799
