site_id,internal_id,plot_file,operator,operator_initials,x,y,water_source,image_number,year,month,day,irrigation
id_3548681,14,Zambia_0.05_n_375-399.csv,,JL,30.214978294356403,-13.4518261190129,false,1,2024,7,16,2
id_3548681,14,Zambia_0.05_n_375-399.csv,,JL,30.214978294356403,-13.4518261190129,false,2,2019,7,27,3
id_1031643,25,Zambia_0.05_n_375-399.csv,,JL,31.57606004227711,-8.866383885810043,false,1,2024,8,29,1
id_5114616,15,Zambia_0.05_n_375-399.csv,,JL,27.825324369927923,-13.285064936630478,false,1,2024,8,1,1
id_5114616,15,Zambia_0.05_n_375-399.csv,,JL,27.825324369927923,-13.285064936630478,false,2,2021,9,12,1
id_5114616,15,Zambia_0.05_n_375-399.csv,,JL,27.825324369927923,-13.285064936630478,false,3,2017,7,17,1
id_5125661,12,Zambia_0.05_n_375-399.csv,,JL,29.840804283936805,-13.613784878402766,false,1,2016,10,27,1
id_5128650,11,Zambia_0.05_n_375-399.csv,,JL,29.67571238255024,-13.714983830648173,true,1,2023,7,31,3
id_5128650,11,Zambia_0.05_n_375-399.csv,,JL,29.67571238255024,-13.714983830648173,true,2,2020,7,6,1
id_5128650,11,Zambia_0.05_n_375-399.csv,,JL,29.67571238255024,-13.714983830648173,true,3,2016,6,17,5
id_5158004,7,Zambia_0.05_n_375-399.csv,,JL,25.34065501298772,-14.772364292343765,true,1,2023,9,1,5
id_5178899,4,Zambia_0.05_n_375-399.csv,,JL,29.07105180579273,-15.284093625127532,false,1,2023,7,10,1
id_5210745,3,Zambia_0.05_n_375-399.csv,,JL,23.45513134819419,-16.457000423826393,true,1,2023,8,1,2
id_3584528,10,Zambia_0.05_n_375-399.csv,,JL,32.11445939353644,-14.17090326064885,false,1,2024,8,26,5
id_5155312,9,Zambia_0.05_n_375-399.csv,,JL,27.79325193079518,-14.704639471821135,false,1,2023,9,11,1
id_5155312,9,Zambia_0.05_n_375-399.csv,,JL,27.79325193079518,-14.704639471821135,false,2,2018,8,26,1
id_5219913,1,Zambia_0.05_n_375-399.csv,,JL,26.90054153529847,-16.740115186140866,false,1,2022,7,22,3
id_5219913,1,Zambia_0.05_n_375-399.csv,,JL,26.90054153529847,-16.740115186140866,false,2,2019,10,24,1
id_5219913,1,Zambia_0.05_n_375-399.csv,,JL,26.90054153529847,-16.740115186140866,false,3,2018,9,15,1
id_5110159,17,Zambia_0.05_n_375-399.csv,,JL,27.82480814535836,-13.131357263877268,false,1,2024,8,1,1
id_5110159,17,Zambia_0.05_n_375-399.csv,,JL,27.82480814535836,-13.131357263877268,false,2,2021,9,12,1
id_5110159,17,Zambia_0.05_n_375-399.csv,,JL,27.82480814535836,-13.131357263877268,false,3,2019,7,27,1
id_5110159,17,Zambia_0.05_n_375-399.csv,,JL,27.82480814535836,-13.131357263877268,false,4,2017,7,17,1
id_5107440,18,Zambia_0.05_n_375-399.csv,,JL,24.08117352699557,-13.034837558067982,true,1,2024,6,3,2
id_5175163,5,Zambia_0.05_n_375-399.csv,,JL,26.798882059635428,-15.203175929010122,true,1,2023,9,19,4
id_5175163,5,Zambia_0.05_n_375-399.csv,,JL,26.798882059635428,-15.203175929010122,true,2,2019,10,30,1
id_5094851,20,Zambia_0.05_n_375-399.csv,,JL,27.85065528867237,-12.588758565855944,false,1,2024,9,4,1
id_5094851,20,Zambia_0.05_n_375-399.csv,,JL,27.85065528867237,-12.588758565855944,false,2,2022,10,6,1
id_5094851,20,Zambia_0.05_n_375-399.csv,,JL,27.85065528867237,-12.588758565855944,false,3,2022,10,1,1
id_5094851,20,Zambia_0.05_n_375-399.csv,,JL,27.85065528867237,-12.588758565855944,false,4,2022,9,7,2
id_5094851,20,Zambia_0.05_n_375-399.csv,,JL,27.85065528867237,-12.588758565855944,false,5,2021,9,12,1
id_5094851,20,Zambia_0.05_n_375-399.csv,,JL,27.85065528867237,-12.588758565855944,false,6,2020,10,28,1
